sku,title,price,cost,temu_cheaper_pct,return_pct
SKU-1044,USB-C braid 2m,9.90,2.10,35,22
SKU-1081,Yoga block cork,19.00,6.40,0,6
SKU-1102,LED strip 5m RGB,12.90,3.20,40,18
SKU-1120,Wool throw 130x170,59.00,18.00,0,9
SKU-1188,Phone stand fold,8.90,1.80,45,28
SKU-1214,Cast iron skillet 26,39.00,14.00,0,5
SKU-1240,Kids raincoat S,29.00,8.00,10,34
SKU-1266,Espresso tamper 58mm,24.00,7.50,0,4
SKU-1291,Silk pillowcase,14.90,3.10,38,19
SKU-1310,Oak cutting board,32.00,11.00,0,7
SKU-1333,Magnetic lash kit,11.90,2.40,50,31
SKU-1360,Merino beanie,28.00,9.00,0,8
SKU-1388,Car phone mount,13.90,3.00,42,16
SKU-1402,Stoneware mug set 4,34.00,12.00,0,6
SKU-1421,Resistance band pack,16.90,4.20,33,21
SKU-1444,Linen apron,29.00,10.00,0,7
SKU-1470,No-name earbuds,22.00,5.50,36,27
SKU-1492,Scented candle 220g,18.00,5.00,0,5
SKU-1515,Laptop sleeve 14,15.90,4.00,29,15
SKU-1540,Herb scissors,14.00,4.20,0,4
